id,year,region,wine,beer,vodka,champagne,brandy,total_consumption
979,2010,"Amur Oblast",7.60,75.80,11.60,1.60,0.60,97.20
980,2010,"Arkhangelsk Oblast",12.00,40.20,16.20,2.60,1.20,72.20
981,2010,"Astrakhan Oblast",6.10,77.10,9.20,1.00,0.50,93.90
982,2010,"Republic of Bashkortostan",2.20,79.60,8.70,0.50,0.20,91.20
983,2010,"Belgorod Oblast",3.00,35.60,6.50,0.90,0.40,46.40
984,2010,"Bryansk Oblast",9.70,53.20,10.80,1.60,0.40,75.70
985,2010,"Republic of Buryatia",7.80,43.50,14.40,0.80,0.30,66.80
986,2010,"Vladimir Oblast",9.00,49.00,12.00,1.40,0.60,72.00
987,2010,"Volgograd Oblast",5.00,66.10,6.90,1.60,0.50,80.10
988,2010,"Vologda Oblast",9.20,85.90,12.90,0.90,0.40,109.30
989,2010,"Voronezh Oblast",6.60,71.40,9.40,1.90,0.50,89.80
990,2010,"Republic of Dagestan",3.30,3.10,10.20,0.40,0.30,17.30
991,2010,"Jewish Autonomous Oblast",5.50,59.10,12.10,1.20,0.40,78.30
992,2010,"Zabaykalsky Krai",6.40,65.30,13.40,1.00,0.40,86.50
993,2010,"Ivanovo Oblast",9.50,86.40,10.20,1.50,0.50,108.10
994,2010,"Irkutsk Oblast",6.50,85.40,11.40,1.30,0.50,105.10
995,2010,"Kabardino-Balkar Republic",3.20,26.10,3.50,0.40,0.40,33.60
996,2010,"Kaliningrad Oblast",8.60,57.60,15.60,2.00,1.90,85.70
997,2010,"Republic of Kalmykia",2.80,24.30,5.50,0.30,0.40,33.30
998,2010,"Kaluga Oblast",8.90,53.70,11.20,1.60,0.80,76.20
999,2010,"Kamchatka Krai",7.70,75.60,16.90,4.10,1.80,106.10
1000,2010,"Karachay-Cherkess Republic",1.40,28.40,2.30,0.50,0.50,33.10
1001,2010,"Republic of Karelia",12.90,55.10,17.60,1.60,1.20,88.40
1002,2010,"Kemerovo Oblast",9.00,67.10,13.60,1.30,0.60,91.60
1003,2010,"Kirov Oblast",11.00,77.40,15.20,1.80,0.50,105.90
1004,2010,"Kostroma Oblast",8.50,56.10,12.80,1.20,0.50,79.10
1005,2010,"Krasnodar Krai",6.70,55.20,6.20,1.50,0.60,70.20
1006,2010,"Krasnoyarsk Krai",6.50,85.90,11.30,1.80,0.70,106.20
1007,2010,"Kurgan Oblast",8.40,82.40,8.50,0.90,0.40,100.60
1008,2010,"Kursk Oblast",6.60,69.40,8.40,1.30,0.40,86.10
1009,2010,"Leningrad Oblast",10.50,77.30,17.80,2.30,2.00,109.90
1010,2010,"Lipetsk Oblast",8.20,74.50,9.30,1.40,0.50,93.90
1011,2010,"Magadan Oblast",7.90,55.50,18.10,4.00,1.50,87.00
1012,2010,"Mari El Republic",10.60,30.60,12.30,1.00,0.40,54.90
1013,2010,"Republic of Mordovia",6.30,55.00,10.50,1.00,0.30,73.10
1014,2010,Moscow,10.10,87.80,16.60,4.90,1.80,121.20
1015,2010,"Moscow Oblast",8.30,100.60,13.00,2.70,1.40,126.00
1016,2010,"Murmansk Oblast",10.30,51.40,12.70,3.30,1.50,79.20
1017,2010,"Nenets Autonomous Okrug",12.00,40.20,16.20,2.60,1.20,72.20
1018,2010,"Nizhny Novgorod Oblast",7.90,51.80,11.50,1.80,0.70,73.70
1019,2010,"Novgorod Oblast",14.80,49.60,14.70,1.90,0.90,81.90
1020,2010,"Novosibirsk Oblast",5.40,70.90,10.70,1.80,0.70,89.50
1021,2010,"Omsk Oblast",5.60,118.80,6.90,1.20,0.40,132.90
1022,2010,"Orenburg Oblast",4.30,68.60,6.80,0.90,0.30,80.90
1023,2010,"Oryol Oblast",6.60,61.40,8.50,1.60,0.40,78.50
1024,2010,"Penza Oblast",7.80,62.60,7.60,1.20,0.30,79.50
1025,2010,"Perm Krai",6.60,78.10,10.70,1.20,0.60,97.20
1026,2010,"Primorsky Krai",5.50,70.80,11.10,2.70,0.80,90.90
1027,2010,"Pskov Oblast",13.60,58.10,15.10,2.00,0.90,89.70
1028,2010,"Altai Republic",6.10,59.90,9.90,1.10,0.40,77.40
1029,2010,"Komi Republic",12.80,90.40,17.10,2.20,1.00,123.50
1030,2010,"Tuva Republic",5.10,77.70,15.20,0.60,0.40,99.00
1031,2010,"Rostov Oblast",5.20,47.50,5.30,1.70,0.60,60.30
1032,2010,"Ryazan Oblast",6.70,58.60,8.70,1.40,0.50,75.90
1033,2010,"Samara Oblast",6.20,61.40,9.40,1.90,0.60,79.50
1034,2010,"Saint Petersburg",8.40,113.20,9.50,3.00,1.20,135.30
1035,2010,"Saratov Oblast",5.70,47.60,8.60,1.60,0.60,64.10
1036,2010,"Sakhalin Oblast",8.80,59.50,18.80,3.80,1.50,92.40
1037,2010,"Sverdlovsk Oblast",10.70,91.40,14.10,1.70,0.90,118.80
1038,2010,"Republic of North Ossetia-Alania",1.70,14.30,3.20,0.40,0.30,19.90
1039,2010,"Smolensk Oblast",10.70,54.20,13.40,2.30,0.70,81.30
1040,2010,"Stavropol Krai",5.40,66.50,4.40,1.50,0.80,78.60
1041,2010,"Tambov Oblast",5.40,71.20,8.10,1.30,0.40,86.40
1042,2010,"Republic of Tatarstan",3.50,78.50,13.50,1.40,0.50,97.40
1043,2010,"Tver Oblast",9.40,65.50,14.80,2.00,0.80,92.50
1044,2010,"Tomsk Oblast",7.60,51.10,12.40,1.50,0.70,73.30
1045,2010,"Tula Oblast",6.20,47.60,9.20,2.30,0.60,65.90
